Site,Feature,Bin,Bin_Label,Q_low,Q_high,Mean_Uncertainty,Std_Uncertainty,Mean_MAE,Std_MAE,N_samples
UK-AMo,VPD_F,0,Q1 (Low),-0.6982,-0.6442,1.0269840563370218,0.5848373347714636,1.7209649354348242,1.0465144381443956,2261
UK-AMo,VPD_F,1,Q2 (Med-Low),-0.6442,-0.49,0.7582154736889725,0.5541279079474793,1.2494573203944086,1.0399933892285638,2265
UK-AMo,VPD_F,2,Q3 (Med-High),-0.49,-0.3199,0.9341261687312375,0.5378972891672802,1.2555525171375475,0.8785079045506314,2264
UK-AMo,VPD_F,3,Q4 (High),-0.3199,4.7253,1.5252144720346266,0.511488391935239,1.9661298433082868,0.9761194238631082,2265
UK-AMo,TA_F,0,Q1 (Low),-1.9603,-0.6139,0.45424279131578016,0.2502156578211282,0.6804295605392962,0.30740340502537866,2262
UK-AMo,TA_F,1,Q2 (Med-Low),-0.6139,-0.11,0.840767255744678,0.4610887350570323,1.1334634724504262,0.7408269395924556,2263
UK-AMo,TA_F,2,Q3 (Med-High),-0.11,0.4008,1.3007713154032394,0.4504559163148659,2.0092491139981514,0.9805233156861591,2265
UK-AMo,TA_F,3,Q4 (High),0.4008,2.5485,1.6478767776400183,0.47732740676815416,2.367270991745313,0.9310948326983798,2265
UK-AMo,SW_IN_F,1,Q2 (Med-Low),-0.7151,-0.7101,0.8888131617947966,0.5483393704429179,1.37756602121779,1.0130830979831904,4527
UK-AMo,SW_IN_F,2,Q3 (Med-High),-0.7101,-0.1265,1.0199772225772155,0.6196288030738919,1.4761141758914471,0.9883743153641752,2264
UK-AMo,SW_IN_F,3,Q4 (High),-0.1265,3.6265,1.4469769474777472,0.573848627518443,1.9606067452884182,1.0088068467743865,2264
UK-AMo,LW_IN_F,0,Q1 (Low),-3.0314,-0.709,0.7690288346369313,0.4926612599444428,1.0071993906748475,0.6733373938432018,2264
UK-AMo,LW_IN_F,1,Q2 (Med-Low),-0.709,0.0417,0.9288194736696143,0.578424223073378,1.391118072324213,0.9933637416980053,2262
UK-AMo,LW_IN_F,2,Q3 (Med-High),0.0417,0.6748,1.073508556868385,0.6089223839461991,1.5625429738881504,1.0168338371252978,2265
UK-AMo,LW_IN_F,3,Q4 (High),0.6748,2.5838,1.4731773904964256,0.5511002442171263,2.2309227949038273,1.0114096844875404,2264
UK-AMo,WS_F,0,Q1 (Low),-0.9956,-0.3397,1.145972905715708,0.6308114777965805,1.61912208195171,1.0793446156800888,2256
UK-AMo,WS_F,1,Q2 (Med-Low),-0.3397,0.1102,1.1135786877037244,0.6014730044141997,1.7005226138253997,1.16206139034382,2267
UK-AMo,WS_F,2,Q3 (Med-High),0.1102,0.6978,1.0934054598376866,0.6157916245675277,1.5698571855457035,0.9904002457569252,2265
UK-AMo,WS_F,3,Q4 (High),0.6978,3.4389,0.8921395225399819,0.5884291976851411,1.3027908407224933,0.83425352654164,2267
UK-AMo,P_F,2,Q3 (Med-High),-0.103,0.2599,1.191839223117444,0.6244986049582247,1.7229036971266827,1.0503588627348723,5855
UK-AMo,P_F,3,Q4 (High),0.2599,57.2356,0.8220696165927641,0.5258629969725047,1.2279301240398197,0.9226478448456726,3200
SE-Htm,VPD_F,1,Q2 (Med-Low),-0.6982,-0.4538,1.5173114393247125,0.9967273783592212,2.5735947714393492,1.6699991070069924,2502
SE-Htm,VPD_F,2,Q3 (Med-High),-0.4538,0.194,2.3363914237395003,0.8118408358569261,3.770785334291452,1.3708185208570611,1253
SE-Htm,VPD_F,3,Q4 (High),0.194,5.1484,2.806735477272387,0.48638989953881695,4.517203460572041,0.8549144526556848,1252
SE-Htm,TA_F,0,Q1 (Low),-2.7818,-0.8146,0.8963787515054409,0.5450831074219284,1.5050914827791895,0.978935716869448,1252
SE-Htm,TA_F,1,Q2 (Med-Low),-0.8146,-0.1345,1.586411488719335,0.7571705484524434,2.6532298893221236,1.226034353193677,1251
SE-Htm,TA_F,2,Q3 (Med-High),-0.1345,0.7344,2.6903167087108564,0.43501111110527674,4.429132224672461,0.8811478457694545,1252
SE-Htm,TA_F,3,Q4 (High),0.7344,2.2856,3.0053522396983703,0.4193309903769963,4.848744569786896,0.6267604315807469,1252
SE-Htm,SW_IN_F,1,Q2 (Med-Low),-0.7151,-0.6039,1.760638690185487,1.0619472211605665,2.891068170713711,1.7038024695119802,2503
SE-Htm,SW_IN_F,2,Q3 (Med-High),-0.6039,0.3229,2.0038055251346867,0.963371281965596,3.3510181517389377,1.6311491044666404,1252
SE-Htm,SW_IN_F,3,Q4 (High),0.3229,3.4672,2.6535154422349443,0.6220296869721078,4.3032336400727385,1.0654277683611164,1252
SE-Htm,LW_IN_F,0,Q1 (Low),-3.4887,-0.85,1.5568091164809692,0.9152885415545604,2.4346132874320894,1.5089972853711577,1252
SE-Htm,LW_IN_F,1,Q2 (Med-Low),-0.85,-0.1047,1.7232493590654987,0.9732100878003225,2.9039477765952255,1.6190870637889225,1251
SE-Htm,LW_IN_F,2,Q3 (Med-High),-0.1047,0.5704,2.0470616365858363,0.9789685182603793,3.4273989130755416,1.503129444368432,1252
SE-Htm,LW_IN_F,3,Q4 (High),0.5704,2.4708,2.851448371925297,0.6070965024877882,4.670438443361387,0.9934636379842495,1252
SE-Htm,WS_F,0,Q1 (Low),-0.9673,-0.4759,2.0588877645819905,1.0656965525647173,3.317557300775295,1.773495630179672,1252
SE-Htm,WS_F,1,Q2 (Med-Low),-0.4759,-0.296,2.124781288058356,0.9826755364372348,3.473427059867341,1.6254635536458455,1251
SE-Htm,WS_F,2,Q3 (Med-High),-0.296,-0.018,2.1259786842340507,0.9489638268973073,3.46766741625507,1.5437496439285834,1252
SE-Htm,WS_F,3,Q4 (High),-0.018,1.6264,1.869241459586554,1.0286357493556564,3.178201499224104,1.6434624222911343,1252
SE-Htm,P_F,3,Q4 (High),-0.103,63.3396,2.044706309702627,1.0129207171807983,3.359190508217423,1.6530970725578538,5007
