Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,TEMPO Fine-Tuned,12,1.99656,1.23448,0.70247
UK-AMo,TEMPO Fine-Tuned,13,2.04442,1.26114,0.68803
UK-AMo,TEMPO Fine-Tuned,14,2.02191,1.23467,0.69486
UK-AMo,TEMPO Fine-Tuned,15,2.00229,1.22312,0.70075
UK-AMo,TEMPO Fine-Tuned,16,1.99768,1.22835,0.70212
UK-AMo,TEMPO Fine-Tuned,17,1.99662,1.22361,0.70244
UK-AMo,TEMPO Fine-Tuned,18,1.99626,1.21881,0.70255
UK-AMo,TEMPO Fine-Tuned,19,1.99968,1.22947,0.70154
UK-AMo,TEMPO Fine-Tuned,20,1.99338,1.23737,0.70342
UK-AMo,TEMPO Fine-Tuned,21,1.99264,1.22638,0.70364
UK-AMo,TEMPO Fine-Tuned,22,1.99885,1.2147,0.70179
UK-AMo,TEMPO Fine-Tuned,23,2.03785,1.23208,0.69004
UK-AMo,TEMPO Fine-Tuned,24,2.06042,1.24633,0.68315
UK-AMo,TEMPO Fine-Tuned,25,2.12961,1.31503,0.66151
UK-AMo,TEMPO Fine-Tuned,26,2.18605,1.35835,0.64333
UK-AMo,TEMPO Fine-Tuned,27,2.22419,1.3854,0.63077
UK-AMo,TEMPO Fine-Tuned,28,2.23905,1.39406,0.62582
UK-AMo,TEMPO Fine-Tuned,29,2.25655,1.40997,0.61995
UK-AMo,TEMPO Fine-Tuned,30,2.24907,1.40671,0.62247
UK-AMo,TEMPO Fine-Tuned,31,2.23826,1.4005,0.62609
UK-AMo,TEMPO Fine-Tuned,32,2.22328,1.39045,0.63108
UK-AMo,TEMPO Fine-Tuned,33,2.22858,1.39077,0.62932
UK-AMo,TEMPO Fine-Tuned,34,2.2164,1.38543,0.63336
UK-AMo,TEMPO Fine-Tuned,35,2.22414,1.38552,0.63079
UK-AMo,TEMPO Fine-Tuned,36,2.24909,1.40016,0.62246
UK-AMo,TEMPO Fine-Tuned,37,2.248,1.40842,0.62284
UK-AMo,TEMPO Fine-Tuned,38,2.26822,1.42607,0.61602
UK-AMo,TEMPO Fine-Tuned,39,2.26819,1.42609,0.61602
UK-AMo,TEMPO Fine-Tuned,40,2.27799,1.40899,0.6127
UK-AMo,TEMPO Fine-Tuned,41,2.2709,1.42158,0.61511
UK-AMo,TEMPO Fine-Tuned,42,2.26558,1.43096,0.61691
UK-AMo,TEMPO Fine-Tuned,43,2.26585,1.41742,0.61682
UK-AMo,TEMPO Fine-Tuned,44,2.27122,1.42047,0.615
UK-AMo,TEMPO Fine-Tuned,45,2.29747,1.42906,0.60605
UK-AMo,TEMPO Fine-Tuned,46,2.33585,1.45467,0.59278
UK-AMo,TEMPO Fine-Tuned,47,2.35759,1.46992,0.58517
UK-AMo,TEMPO Fine-Tuned,48,2.31559,1.45403,0.59982
UK-AMo,TEMPO Fine-Tuned,49,2.34739,1.48829,0.58875
UK-AMo,TEMPO Fine-Tuned,50,2.40157,1.54038,0.56955
UK-AMo,TEMPO Fine-Tuned,51,2.41249,1.53777,0.56563
UK-AMo,TEMPO Fine-Tuned,52,2.42141,1.53783,0.56241
UK-AMo,TEMPO Fine-Tuned,53,2.43492,1.5404,0.55752
UK-AMo,TEMPO Fine-Tuned,54,2.41307,1.53189,0.56543
UK-AMo,TEMPO Fine-Tuned,55,2.40439,1.52042,0.56855
UK-AMo,TEMPO Fine-Tuned,56,2.39598,1.51588,0.57157
UK-AMo,TEMPO Fine-Tuned,57,2.39104,1.50794,0.57334
UK-AMo,TEMPO Fine-Tuned,58,2.3986,1.49794,0.57064
UK-AMo,TEMPO Fine-Tuned,59,2.40755,1.50317,0.56743
UK-AMo,TEMPO Fine-Tuned,60,2.40925,1.51056,0.56682
UK-AMo,TEMPO Fine-Tuned,61,2.42618,1.53346,0.56071
UK-AMo,TEMPO Fine-Tuned,62,2.44606,1.53629,0.55347
UK-AMo,TEMPO Fine-Tuned,63,2.44672,1.54863,0.55323
UK-AMo,TEMPO Fine-Tuned,64,2.44884,1.53771,0.55246
UK-AMo,TEMPO Fine-Tuned,65,2.4522,1.56554,0.55123
UK-AMo,TEMPO Fine-Tuned,66,2.49536,1.61918,0.5353
UK-AMo,TEMPO Fine-Tuned,67,2.45433,1.56976,0.55047
UK-AMo,TEMPO Fine-Tuned,68,2.46836,1.58934,0.54533
UK-AMo,TEMPO Fine-Tuned,69,2.47197,1.58837,0.54399
UK-AMo,TEMPO Fine-Tuned,70,2.4449,1.54622,0.55392
UK-AMo,TEMPO Fine-Tuned,71,2.47065,1.56626,0.54448
UK-AMo,TEMPO Fine-Tuned,72,2.47697,1.57218,0.54214
UK-AMo,TEMPO Fine-Tuned,73,2.50981,1.59849,0.52992
UK-AMo,TEMPO Fine-Tuned,74,2.55678,1.62507,0.51217
UK-AMo,TEMPO Fine-Tuned,75,2.56464,1.62814,0.50916
UK-AMo,TEMPO Fine-Tuned,76,2.56171,1.63402,0.51028
UK-AMo,TEMPO Fine-Tuned,77,2.56644,1.63743,0.50847
UK-AMo,TEMPO Fine-Tuned,78,2.56183,1.63369,0.51023
UK-AMo,TEMPO Fine-Tuned,79,2.56565,1.64699,0.50877
UK-AMo,TEMPO Fine-Tuned,80,2.55378,1.63336,0.51331
UK-AMo,TEMPO Fine-Tuned,81,2.53407,1.60799,0.52079
UK-AMo,TEMPO Fine-Tuned,82,2.54176,1.61303,0.51787
UK-AMo,TEMPO Fine-Tuned,83,2.55263,1.61203,0.51373
UK-AMo,TEMPO Fine-Tuned,84,2.57495,1.64503,0.50519
UK-AMo,TEMPO Fine-Tuned,85,2.5909,1.67588,0.49903
UK-AMo,TEMPO Fine-Tuned,86,2.58766,1.67145,0.50028
UK-AMo,TEMPO Fine-Tuned,87,2.57647,1.65364,0.50459
UK-AMo,TEMPO Fine-Tuned,88,2.57281,1.64723,0.506
UK-AMo,TEMPO Fine-Tuned,89,2.5934,1.67952,0.49806
UK-AMo,TEMPO Fine-Tuned,90,2.6113,1.69377,0.49112
UK-AMo,TEMPO Fine-Tuned,91,2.61411,1.69288,0.49002
UK-AMo,TEMPO Fine-Tuned,92,2.60816,1.68951,0.49233
UK-AMo,TEMPO Fine-Tuned,93,2.5955,1.66341,0.49725
UK-AMo,TEMPO Fine-Tuned,94,2.60249,1.65473,0.49454
UK-AMo,TEMPO Fine-Tuned,95,2.6215,1.66929,0.48713
UK-AMo,TEMPO Fine-Tuned,96,2.63618,1.69681,0.48137
UK-AMo,Persistence,1,1.52336,0.85179,0.8268
UK-AMo,Persistence,2,2.44817,1.40769,0.55267
UK-AMo,Persistence,3,3.24867,1.93557,0.21231
UK-AMo,Persistence,4,3.94423,2.43404,-0.16113
UK-AMo,Persistence,5,4.54877,2.9,-0.54433
UK-AMo,Persistence,6,5.0685,3.32678,-0.91738
UK-AMo,Persistence,7,5.50624,3.71378,-1.26285
UK-AMo,Persistence,8,5.87206,4.05504,-1.5735
UK-AMo,Persistence,9,6.16761,4.33829,-1.83911
UK-AMo,Persistence,10,6.38097,4.54593,-2.03898
UK-AMo,Persistence,11,6.50351,4.67192,-2.15686
UK-AMo,Persistence,12,6.52868,4.69264,-2.18141
UK-AMo,Persistence,13,6.45669,4.61892,-2.11165
UK-AMo,Persistence,14,6.291,4.45836,-1.95405
UK-AMo,Persistence,15,6.04521,4.21949,-1.72776
UK-AMo,Persistence,16,5.72813,3.91848,-1.44913
UK-AMo,Persistence,17,5.34696,3.57256,-1.13402
UK-AMo,Persistence,18,4.89854,3.19455,-0.79108
UK-AMo,Persistence,19,4.38191,2.78335,-0.43316
UK-AMo,Persistence,20,3.82471,2.35482,-0.09184
UK-AMo,Persistence,21,3.24774,1.93794,0.21273
UK-AMo,Persistence,22,2.6988,1.56485,0.45637
UK-AMo,Persistence,23,2.30002,1.29083,0.60516
UK-AMo,Persistence,24,2.23459,1.20267,0.62731
UK-AMo,Persistence,25,2.55875,1.43634,0.51135
UK-AMo,Persistence,26,3.10103,1.82703,0.28227
UK-AMo,Persistence,27,3.69114,2.24961,-0.01688
UK-AMo,Persistence,28,4.26642,2.68607,-0.35855
UK-AMo,Persistence,29,4.78844,3.10519,-0.71134
UK-AMo,Persistence,30,5.25109,3.49766,-1.058
UK-AMo,Persistence,31,5.64994,3.84178,-1.3825
UK-AMo,Persistence,32,5.97028,4.13946,-1.66031
UK-AMo,Persistence,33,6.21826,4.3805,-1.88592
UK-AMo,Persistence,34,6.39171,4.54862,-2.04919
UK-AMo,Persistence,35,6.4763,4.63169,-2.13044
UK-AMo,Persistence,36,6.47217,4.62764,-2.1264
UK-AMo,Persistence,37,6.37548,4.53192,-2.03363
UK-AMo,Persistence,38,6.19125,4.3507,-1.86086
UK-AMo,Persistence,39,5.9322,4.10451,-1.6265
UK-AMo,Persistence,40,5.60663,3.80336,-1.34609
UK-AMo,Persistence,41,5.22525,3.46181,-1.03777
UK-AMo,Persistence,42,4.78709,3.10572,-0.71034
UK-AMo,Persistence,43,4.29566,2.7182,-0.37721
UK-AMo,Persistence,44,3.77084,2.32477,-0.06125
UK-AMo,Persistence,45,3.24459,1.94316,0.21429
UK-AMo,Persistence,46,2.80196,1.62704,0.41405
UK-AMo,Persistence,47,2.529,1.41884,0.52265
UK-AMo,Persistence,48,2.5472,1.39548,0.51576
UK-AMo,Persistence,49,2.88679,1.64331,0.37804
UK-AMo,Persistence,50,3.38396,2.00906,0.14536
UK-AMo,Persistence,51,3.92066,2.4074,-0.14722
UK-AMo,Persistence,52,4.44041,2.81404,-0.47156
UK-AMo,Persistence,53,4.9195,3.21028,-0.80622
UK-AMo,Persistence,54,5.33915,3.56682,-1.12749
UK-AMo,Persistence,55,5.69778,3.88339,-1.42286
UK-AMo,Persistence,56,5.98687,4.15351,-1.67493
UK-AMo,Persistence,57,6.20547,4.36299,-1.87381
UK-AMo,Persistence,58,6.35213,4.50455,-2.01123
UK-AMo,Persistence,59,6.41104,4.56021,-2.06734
UK-AMo,Persistence,60,6.37843,4.53042,-2.03619
UK-AMo,Persistence,61,6.26095,4.41665,-1.92543
UK-AMo,Persistence,62,6.06298,4.22782,-1.74338
UK-AMo,Persistence,63,5.79518,3.97731,-1.50641
UK-AMo,Persistence,64,5.46473,3.67434,-1.22871
UK-AMo,Persistence,65,5.07979,3.3392,-0.92577
UK-AMo,Persistence,66,4.65425,2.99149,-0.6166
UK-AMo,Persistence,67,4.19079,2.62817,-0.31065
UK-AMo,Persistence,68,3.71517,2.27849,-0.03001
UK-AMo,Persistence,69,3.2672,1.95652,0.2034
UK-AMo,Persistence,70,2.89522,1.68289,0.37447
UK-AMo,Persistence,71,2.70177,1.51924,0.45527
UK-AMo,Persistence,72,2.78193,1.53656,0.42247
UK-AMo,Persistence,73,3.11188,1.78514,0.27735
UK-AMo,Persistence,74,3.58458,2.14827,0.04113
UK-AMo,Persistence,75,4.09088,2.54166,-0.24887
UK-AMo,Persistence,76,4.58015,2.93083,-0.56547
UK-AMo,Persistence,77,5.02416,3.3001,-0.8837
UK-AMo,Persistence,78,5.41614,3.63527,-1.18911
UK-AMo,Persistence,79,5.74716,3.92933,-1.46488
UK-AMo,Persistence,80,6.00983,4.17543,-1.69534
UK-AMo,Persistence,81,6.2019,4.35695,-1.87039
UK-AMo,Persistence,82,6.31516,4.47076,-1.9762
UK-AMo,Persistence,83,6.34494,4.50277,-2.00438
UK-AMo,Persistence,84,6.28989,4.44962,-1.95252
UK-AMo,Persistence,85,6.1573,4.32194,-1.82937
UK-AMo,Persistence,86,5.95273,4.13118,-1.64449
UK-AMo,Persistence,87,5.68533,3.87682,-1.41226
UK-AMo,Persistence,88,5.36266,3.58125,-1.14621
UK-AMo,Persistence,89,4.99166,3.25588,-0.85952
UK-AMo,Persistence,90,4.58065,2.92684,-0.56588
UK-AMo,Persistence,91,4.14988,2.58759,-0.28523
UK-AMo,Persistence,92,3.70518,2.26022,-0.02454
UK-AMo,Persistence,93,3.2956,1.96093,0.18945
UK-AMo,Persistence,94,2.97906,1.72229,0.33768
UK-AMo,Persistence,95,2.8513,1.60566,0.39327
UK-AMo,Persistence,96,2.97007,1.66817,0.34167
SE-Htm,Random Forest,1,5.70115,4.06215,0.37723
SE-Htm,Random Forest,2,5.75165,4.09967,0.36661
SE-Htm,Random Forest,3,5.77274,4.1133,0.36194
SE-Htm,Random Forest,4,5.77975,4.11471,0.36037
SE-Htm,Random Forest,5,5.78949,4.11976,0.35826
SE-Htm,Random Forest,6,5.79705,4.12589,0.35667
SE-Htm,Random Forest,7,5.8109,4.14292,0.35368
SE-Htm,Random Forest,8,5.83996,4.17115,0.34729
SE-Htm,Random Forest,9,5.85305,4.1891,0.34445
SE-Htm,Random Forest,10,5.85878,4.19828,0.34326
SE-Htm,Random Forest,11,5.86055,4.20343,0.34296
SE-Htm,Random Forest,12,5.86385,4.2108,0.34233
SE-Htm,Random Forest,13,5.87381,4.22101,0.34019
SE-Htm,Random Forest,14,5.88287,4.22523,0.33825
SE-Htm,Random Forest,15,5.89213,4.23004,0.33619
SE-Htm,Random Forest,16,5.89453,4.22938,0.33575
SE-Htm,Random Forest,17,5.89636,4.23034,0.33553
SE-Htm,Random Forest,18,5.90776,4.24639,0.3333
SE-Htm,Random Forest,19,5.91624,4.25821,0.3317
SE-Htm,Random Forest,20,5.93504,4.27945,0.32816
SE-Htm,Random Forest,21,5.94932,4.29064,0.3255
SE-Htm,Random Forest,22,5.96867,4.30359,0.3219
SE-Htm,Random Forest,23,5.98522,4.31871,0.31876
SE-Htm,Random Forest,24,6.01131,4.34146,0.31316
SE-Htm,Random Forest,25,6.03735,4.36689,0.30777
SE-Htm,Random Forest,26,6.04014,4.37386,0.30725
SE-Htm,Random Forest,27,6.03572,4.37205,0.30832
SE-Htm,Random Forest,28,6.03103,4.36738,0.30938
SE-Htm,Random Forest,29,6.02941,4.36249,0.30979
SE-Htm,Random Forest,30,6.03764,4.36595,0.308
SE-Htm,Random Forest,31,6.05396,4.38744,0.30435
SE-Htm,Random Forest,32,6.06733,4.40445,0.30138
SE-Htm,Random Forest,33,6.0738,4.41192,0.29998
SE-Htm,Random Forest,34,6.08211,4.419,0.29816
SE-Htm,Random Forest,35,6.08544,4.4232,0.29749
SE-Htm,Random Forest,36,6.09716,4.43411,0.29488
SE-Htm,Random Forest,37,6.11153,4.44662,0.29166
SE-Htm,Random Forest,38,6.1226,4.45808,0.28919
SE-Htm,Random Forest,39,6.12881,4.46027,0.28775
SE-Htm,Random Forest,40,6.1332,4.46474,0.28675
SE-Htm,Random Forest,41,6.1476,4.47371,0.2837
SE-Htm,Random Forest,42,6.15799,4.48946,0.28178
SE-Htm,Random Forest,43,6.18651,4.51402,0.276
SE-Htm,Random Forest,44,6.20613,4.53188,0.2725
SE-Htm,Random Forest,45,6.2104,4.5381,0.27224
SE-Htm,Random Forest,46,6.21481,4.53924,0.27221
SE-Htm,Random Forest,47,6.2351,4.554,0.2679
SE-Htm,Random Forest,48,6.26144,4.57369,0.26207
SE-Htm,Random Forest,49,6.28708,4.59113,0.25603
SE-Htm,Random Forest,50,6.29864,4.6034,0.25329
SE-Htm,Random Forest,51,6.29561,4.60347,0.25401
SE-Htm,Random Forest,52,6.28088,4.58726,0.25763
SE-Htm,Random Forest,53,6.27466,4.57669,0.25923
SE-Htm,Random Forest,54,6.27822,4.57553,0.25854
SE-Htm,Random Forest,55,6.29242,4.59773,0.25537
SE-Htm,Random Forest,56,6.30404,4.61214,0.25279
SE-Htm,Random Forest,57,6.30282,4.61256,0.25325
SE-Htm,Random Forest,58,6.30616,4.61675,0.25267
SE-Htm,Random Forest,59,6.32669,4.63421,0.24797
SE-Htm,Random Forest,60,6.34215,4.64671,0.24442
SE-Htm,Random Forest,61,6.34556,4.65326,0.24375
SE-Htm,Random Forest,62,6.34132,4.65024,0.24496
SE-Htm,Random Forest,63,6.34687,4.65181,0.24383
SE-Htm,Random Forest,64,6.35197,4.66045,0.24275
SE-Htm,Random Forest,65,6.38291,4.6843,0.23539
SE-Htm,Random Forest,66,6.40808,4.70754,0.22938
SE-Htm,Random Forest,67,6.43206,4.72807,0.22367
SE-Htm,Random Forest,68,6.43196,4.73554,0.22376
SE-Htm,Random Forest,69,6.42484,4.7263,0.22548
SE-Htm,Random Forest,70,6.43065,4.7291,0.22406
SE-Htm,Random Forest,71,6.46866,4.75671,0.21485
SE-Htm,Random Forest,72,6.48448,4.76827,0.21099
SE-Htm,Random Forest,73,6.47966,4.7624,0.21215
SE-Htm,Random Forest,74,6.47659,4.75811,0.21288
SE-Htm,Random Forest,75,6.45924,4.74127,0.21708
SE-Htm,Random Forest,76,6.45111,4.72636,0.21907
SE-Htm,Random Forest,77,6.45401,4.72621,0.21849
SE-Htm,Random Forest,78,6.46588,4.72624,0.21572
SE-Htm,Random Forest,79,6.47469,4.73597,0.21365
SE-Htm,Random Forest,80,6.48401,4.74809,0.21152
SE-Htm,Random Forest,81,6.48821,4.75369,0.21064
SE-Htm,Random Forest,82,6.4904,4.76153,0.21023
SE-Htm,Random Forest,83,6.48208,4.75894,0.21237
SE-Htm,Random Forest,84,6.48167,4.76489,0.2126
SE-Htm,Random Forest,85,6.4782,4.76576,0.21354
SE-Htm,Random Forest,86,6.4608,4.75597,0.21797
SE-Htm,Random Forest,87,6.45122,4.74974,0.22037
SE-Htm,Random Forest,88,6.46284,4.76025,0.21757
SE-Htm,Random Forest,89,6.48666,4.77751,0.21177
SE-Htm,Random Forest,90,6.49959,4.7879,0.20865
SE-Htm,Random Forest,91,6.52469,4.80851,0.20277
SE-Htm,Random Forest,92,6.53843,4.8217,0.19978
SE-Htm,Random Forest,93,6.55085,4.83159,0.19687
SE-Htm,Random Forest,94,6.55691,4.83557,0.19563
SE-Htm,Random Forest,95,6.56267,4.8375,0.19549
SE-Htm,Random Forest,96,6.56033,4.83464,0.19672
SE-Htm,XGBoost,1,5.57866,4.01608,0.40371
SE-Htm,XGBoost,2,5.61133,4.0526,0.39713
SE-Htm,XGBoost,3,5.60635,4.07741,0.39819
SE-Htm,XGBoost,4,5.62452,4.10031,0.39427
SE-Htm,XGBoost,5,5.6749,4.13907,0.38341
SE-Htm,XGBoost,6,5.67555,4.13178,0.38335
SE-Htm,XGBoost,7,5.74126,4.19048,0.36908
SE-Htm,XGBoost,8,5.84035,4.24599,0.3472
SE-Htm,XGBoost,9,5.81147,4.24837,0.35373
SE-Htm,XGBoost,10,5.83976,4.26781,0.34751
SE-Htm,XGBoost,11,5.8478,4.27331,0.34582
SE-Htm,XGBoost,12,5.89414,4.2917,0.33551
SE-Htm,XGBoost,13,5.9278,4.31978,0.328
SE-Htm,XGBoost,14,5.8812,4.30109,0.33862
SE-Htm,XGBoost,15,5.86236,4.27937,0.34288
SE-Htm,XGBoost,16,5.89602,4.32398,0.33542
SE-Htm,XGBoost,17,5.93114,4.33719,0.32767
SE-Htm,XGBoost,18,5.97682,4.36969,0.31762
SE-Htm,XGBoost,19,5.96731,4.35769,0.32011
SE-Htm,XGBoost,20,5.92226,4.33245,0.33106
SE-Htm,XGBoost,21,6.00645,4.37693,0.31248
SE-Htm,XGBoost,22,6.0405,4.42014,0.30548
SE-Htm,XGBoost,23,6.16236,4.52403,0.27784
SE-Htm,XGBoost,24,6.08883,4.45754,0.29534
SE-Htm,XGBoost,25,6.08999,4.47331,0.29565
SE-Htm,XGBoost,26,6.15516,4.54611,0.28062
SE-Htm,XGBoost,27,6.15114,4.54158,0.28161
SE-Htm,XGBoost,28,6.17133,4.56423,0.27688
SE-Htm,XGBoost,29,6.23923,4.60762,0.26092
SE-Htm,XGBoost,30,6.28793,4.64484,0.24944
SE-Htm,XGBoost,31,6.32702,4.6595,0.24018
SE-Htm,XGBoost,32,6.31137,4.65444,0.24404
SE-Htm,XGBoost,33,6.31639,4.6523,0.24294
SE-Htm,XGBoost,34,6.36774,4.69351,0.23069
SE-Htm,XGBoost,35,6.23332,4.60315,0.26293
SE-Htm,XGBoost,36,6.36482,4.70167,0.23162
SE-Htm,XGBoost,37,6.31823,4.67141,0.24293
SE-Htm,XGBoost,38,6.31537,4.67444,0.24372
SE-Htm,XGBoost,39,6.28036,4.64833,0.25209
SE-Htm,XGBoost,40,6.30966,4.67106,0.24512
SE-Htm,XGBoost,41,6.24551,4.62369,0.26071
SE-Htm,XGBoost,42,6.3589,4.71593,0.23416
SE-Htm,XGBoost,43,6.3335,4.69862,0.24119
SE-Htm,XGBoost,44,6.33996,4.69424,0.24078
SE-Htm,XGBoost,45,6.31628,4.67182,0.24722
SE-Htm,XGBoost,46,6.38365,4.73525,0.23213
SE-Htm,XGBoost,47,6.40907,4.74553,0.22648
SE-Htm,XGBoost,48,6.22818,4.6413,0.26989
SE-Htm,XGBoost,49,6.22644,4.62029,0.27031
SE-Htm,XGBoost,50,6.17573,4.57357,0.28215
SE-Htm,XGBoost,51,6.21226,4.59504,0.27364
SE-Htm,XGBoost,52,6.25707,4.63109,0.26325
SE-Htm,XGBoost,53,6.19437,4.57964,0.27807
SE-Htm,XGBoost,54,6.24958,4.62873,0.26528
SE-Htm,XGBoost,55,6.31541,4.65639,0.24992
SE-Htm,XGBoost,56,6.31847,4.67155,0.24936
SE-Htm,XGBoost,57,6.28366,4.65545,0.25779
SE-Htm,XGBoost,58,6.29369,4.66455,0.25562
SE-Htm,XGBoost,59,6.19917,4.61021,0.27798
SE-Htm,XGBoost,60,6.23519,4.63165,0.26969
SE-Htm,XGBoost,61,6.28901,4.67374,0.25716
SE-Htm,XGBoost,62,6.29954,4.67929,0.25488
SE-Htm,XGBoost,63,6.2345,4.64727,0.27037
SE-Htm,XGBoost,64,6.27401,4.66441,0.26123
SE-Htm,XGBoost,65,6.22312,4.63422,0.27319
SE-Htm,XGBoost,66,6.21533,4.62226,0.27504
SE-Htm,XGBoost,67,6.25226,4.65595,0.26646
SE-Htm,XGBoost,68,6.24701,4.64629,0.26776
SE-Htm,XGBoost,69,6.26944,4.6651,0.2625
SE-Htm,XGBoost,70,6.25913,4.65197,0.2649
SE-Htm,XGBoost,71,6.29076,4.68376,0.25744
SE-Htm,XGBoost,72,6.29816,4.67116,0.25568
SE-Htm,XGBoost,73,6.25942,4.64384,0.26479
SE-Htm,XGBoost,74,6.28565,4.66076,0.2586
SE-Htm,XGBoost,75,6.27512,4.64893,0.26107
SE-Htm,XGBoost,76,6.31908,4.68746,0.25071
SE-Htm,XGBoost,77,6.30118,4.66811,0.25507
SE-Htm,XGBoost,78,6.3577,4.71461,0.24175
SE-Htm,XGBoost,79,6.32782,4.6979,0.24892
SE-Htm,XGBoost,80,6.32623,4.68118,0.24943
SE-Htm,XGBoost,81,6.26946,4.64936,0.26297
SE-Htm,XGBoost,82,6.29297,4.66207,0.25755
SE-Htm,XGBoost,83,6.27267,4.64559,0.26244
SE-Htm,XGBoost,84,6.26954,4.65827,0.26329
SE-Htm,XGBoost,85,6.26268,4.65111,0.265
SE-Htm,XGBoost,86,6.30037,4.66847,0.25632
SE-Htm,XGBoost,87,6.26905,4.6495,0.26378
SE-Htm,XGBoost,88,6.26678,4.66115,0.26432
SE-Htm,XGBoost,89,6.26514,4.64541,0.26469
SE-Htm,XGBoost,90,6.26754,4.6612,0.26415
SE-Htm,XGBoost,91,6.28532,4.66099,0.2602
SE-Htm,XGBoost,92,6.23856,4.62076,0.2715
SE-Htm,XGBoost,93,6.27731,4.64973,0.26255
SE-Htm,XGBoost,94,6.35465,4.71133,0.24449
SE-Htm,XGBoost,95,6.38622,4.73867,0.23817
SE-Htm,XGBoost,96,6.64932,4.93039,0.17478
SE-Htm,LSTM,1,5.87856,4.2268,0.33787
SE-Htm,LSTM,2,5.87027,4.20449,0.34021
SE-Htm,LSTM,3,5.87324,4.20585,0.33953
SE-Htm,LSTM,4,5.89426,4.22501,0.33478
SE-Htm,LSTM,5,5.89551,4.23037,0.33454
SE-Htm,LSTM,6,5.90947,4.25731,0.33147
